year,cdc_week,site,total_mosquitoes,trap_date,week_start,temp_avg_f,temp_max_f,temp_min_f,rh_avg,wind_avg_mph,precip_in
2021,28,ENT003,20.0,2021-07-07,2021-07-05,97.0,114.0,77.0,14.18,6.67,0.0
2021,35,ENT003,23.0,2021-08-25,2021-08-23,85.0,105.0,64.0,16.53,5.1,0.0
2022,23,ENT003,39.0,2022-06-08,2022-06-06,87.86,106.0,69.0,14.97,8.09,0.0
2022,26,ENT003,10.0,2022-06-28,2022-06-27,90.29,104.0,75.0,20.08,10.89,0.01
2022,35,ENT003,29.0,2022-08-31,2022-08-29,90.71,108.0,71.0,22.05,4.3,0.0
2023,25,ENT003,1.0,2023-06-22,2023-06-19,78.43,97.0,57.0,11.78,9.56,0.0
2023,33,ENT003,1.0,2023-08-16,2023-08-14,82.57,101.0,65.0,50.17,6.24,0.21
2024,26,ENT003,19.0,2024-06-26,2024-06-24,93.29,108.0,76.0,20.9,10.33,0.0
2025,31,ENT003,7.0,2025-07-30,2025-07-28,87.29,104.0,68.0,10.27,7.41,0.0
2025,33,ENT003,9.0,2025-08-13,2025-08-11,89.0,108.0,70.0,20.38,8.13,0.23
2018,25,ENT004,12.0,2018-06-21,2018-06-18,86.0,106.0,63.0,12.23,7.69,0.0
2019,27,ENT004,14.0,2019-07-04,2019-07-01,84.14,101.0,66.0,14.45,7.61,0.0
2019,32,ENT004,370.0,2019-08-08,2019-08-05,88.64,107.0,74.0,29.96,9.1,0.0
2019,33,ENT004,6.0,2019-08-09,2019-08-05,88.64,107.0,74.0,29.96,9.1,0.0
2019,34,ENT004,31.0,2019-08-22,2019-08-19,85.43,104.0,68.0,15.05,5.87,0.0
2020,30,ENT004,70.0,2020-07-22,2020-07-20,88.71,106.0,72.0,23.53,9.24,0.0
2020,32,ENT004,17.0,2020-08-06,2020-08-03,86.29,104.0,66.0,11.15,7.09,0.0
2020,35,ENT004,106.0,2020-08-27,2020-08-24,88.14,105.0,68.0,24.84,6.4,0.0
2021,22,ENT004,0.0,2021-05-25,2021-05-24,75.71,95.0,52.0,12.2,6.24,0.0
2021,28,ENT004,65.0,2021-07-07,2021-07-05,97.0,114.0,77.0,14.18,6.67,0.0
2022,23,ENT004,18.0,2022-06-08,2022-06-06,87.86,106.0,69.0,14.97,8.09,0.0
2022,35,ENT004,38.0,2022-08-31,2022-08-29,90.71,108.0,71.0,22.05,4.3,0.0
2023,25,ENT004,16.0,2023-06-22,2023-06-19,78.43,97.0,57.0,11.78,9.56,0.0
2023,33,ENT004,29.0,2023-08-16,2023-08-14,82.57,101.0,65.0,50.17,6.24,0.21
2024,26,ENT004,41.0,2024-06-26,2024-06-24,93.29,108.0,76.0,20.9,10.33,0.0
2025,33,EX-Enterprise Cemetery,0.0,2025-08-13,2025-08-11,89.0,108.0,70.0,20.38,8.13,0.23
2025,28,EX-Mall Dr. Bridge,83.0,2025-07-08,2025-07-07,91.55,108.0,70.0,13.12,6.7,0.0
2025,30,EX-Mall Dr. Bridge,50.0,2025-07-22,2025-07-21,84.17,99.0,68.0,14.91,7.65,0.15
2025,32,EX-Mall Dr. Bridge,27.0,2025-08-05,2025-08-04,90.86,108.0,74.0,10.49,8.59,0.0
2025,34,EX-Mall Dr. Bridge,72.0,2025-08-19,2025-08-18,90.28,107.0,70.0,21.51,6.22,0.02
2025,35,EX-Mall Dr. Bridge,47.0,2025-08-26,2025-08-25,78.8,80.0,77.0,47.6,4.8,0.0
2024,21,Fire Lake-Test,553.0,2024-05-24,2024-05-20,73.14,89.0,52.0,17.04,10.24,0.0
2018,14,HAR001,0.0,2018-04-05,2018-04-02,65.14,86.0,42.0,28.12,7.03,0.21
2018,15,HAR001,0.0,2018-04-12,2018-04-09,63.46,89.0,41.0,20.22,10.2,0.0
2018,16,HAR001,2.0,2018-04-19,2018-04-16,61.57,85.0,40.0,25.9,10.43,0.07
2018,17,HAR001,0.0,2018-04-26,2018-04-23,73.43,93.0,52.0,15.46,8.84,0.0
2018,19,HAR001,1.0,2018-05-10,2018-05-07,75.57,98.0,53.0,17.85,8.4,0.0
2018,20,HAR001,2.0,2018-05-17,2018-05-14,73.29,91.0,56.0,18.36,8.04,0.0
2018,21,HAR001,0.0,2018-05-23,2018-05-21,74.29,93.0,56.0,21.16,8.79,0.02
2018,22,HAR001,0.0,2018-05-31,2018-05-28,79.71,100.0,59.0,17.46,8.91,0.0
2018,23,HAR001,1.0,2018-06-07,2018-06-04,83.71,103.0,67.0,11.06,9.74,0.0
