address,lat,lon
163 N 300 W,37.1088441,-113.5897045
"710 North 1300  East  St.George UT, 84770",37.1196234,-113.5552634
1111 W Black Mountain DR,,
2610 Pioneer Road,37.0634233,-113.587355
170 S street/1470 E Street,,
2970 W Lesina Heights DR,,
929 E Factory DR,37.0329055,-113.5663392
1272 W HUMMINGBIRD DR,,
2293 E PANORAMA PKWY,37.1210673,-113.5376137
6258 S Rock Rose DR,,
2356 E 130 N,37.1104913,-113.533431
350 W MAN O WAR RD,37.0521793,-113.5945403
496 N 1300 E ST,37.1176387,-113.5565424
1250 W Sunset BLVD UNIT A,,
2739 W Lugano WAY,,
51 N 660 W ST,,
1800 N St,37.1392872,-113.6333599
433 E Brigham RD,37.0576158,-113.5771385
4616 S Pioneer RD,,
5882 S Delorian LN,,
4291 E CARRERA WAY,,
301 S 1200 E #103,37.103863,-113.557841
5848 S LANSKY DR,,
1346 E HONEYCOMB CT,,
705 E 1100 S ST,37.0895934,-113.5609325
2969 W Varese WAY,,
1291 S 2580 E ST,37.0913068,-113.5313449
2240 W Sunbrook DR UNIT 6,,
520 Par 3 CIR,37.0702391,-113.5943811
1992 E Honeycomb DR,,
875 Rio Virgin Dr #126,,
888 W Camello LN,37.0020836,-113.6020311
892 W Camello LN,37.0020836,-113.6020311
896 W Camello LN,37.0020836,-113.6020311
900 W Camello LN,37.0020836,-113.6020311
904 W Camello LN,37.0020836,-113.6020311
2115 E Tawny Ridge DR,,
2671 E Rosedale DR,,
2655 E Rosedale DR,,
75 W 700 S,37.0962639,-113.566432
1083 S Quarb LN,,
1087 S Quarb LN,,
1079 S Quarb LN,,
473 N 2360 E ST,37.1165464,-113.5338082
1079 - 1091 S QUARB LN,,
1084 S Criollo LN,,
1088 S Criollo LN,,
5922 S White Rim CT,,
1091 S Quarb LN,,
32 S 1250 W ST,,
917 E Fort Pierce DR,37.074434,-113.5646674
3131 S 3170 E ST,37.0551522,-113.518332
1582 W GARNET RIDGE DR,37.0204473,-113.6166698
5017 S MOSAIC DR,37.0224149,-113.6174824
265 N DIXIE DR #34,,
1410 W 625 N ST,,
1055 E 900 S ST UNIT 13,,
1080 - 1092 S Criollo LN,,
1067 S Quarb LN,,
3503 E 2890 S ST,37.0592021,-113.5143809
1078 - 1090 S Quarb LN,,
2970 W Varese WAY,,
3171 E 2080 S ST,,
1059 - 1071 Quarb LN,,
1059 S Quarb LN,,
1063 S Quarb LN,,
1071 S Quarb LN,,
3012 W BOLSENA TRAIL,,
1090 S QUARB LN,,
1082 S QUARB LN,,
1078 S QUARB LN,,
1092 S Criollo LN,,
1080 S Criollo LN,,
5955 S Foothill Ridge DR,,
1151 E Hubbard PL,37.0725257,-113.5589797
1086 S QUARB LN,,
1093 S CRIOLLO LN,,
2669 E 3200 S ST,37.0541958,-113.5288691
707 N 950 W ST,,
1060 - 1068 Crillo LN,,
1621 S Flatrock Rd,,
1119 S CRIOLLO LN,,
1103 S CRIOLLO LN,,
6215 S Jakku LN,37.0017519,-113.5219131
1087 S CRIOLLO LN,,
1081 S CRIOLLO LN,,
1075 S CRIOLLO LN,,
491 W EMERALD POINT DR,,
6318 S Malachite CV,,
302 S Divario Canyon DR BLDG F,,
188 S RIVER RD,37.1017898,-113.5556595
1880 S 3210 East,37.0775007,-113.5177499
TBD West end of Black Mountain Drive,,
3260 E. Deseret Dr.,37.1167396,-113.5181654
1036 E MCKINLEY WAY,37.0732508,-113.562249
4137 S River Road,,
2531 E 1240 S CIR,37.086988,-113.5320007
1974 Rain Lilly Circle,,
1060 S Criollo LN,,
1064 S Criollo LN,,
1068 S Criollo LN,,
516 E Cedar Hill DR,37.0008812,-113.5958991
723 N Northstar DR,37.1181617,-113.6267233
2414 E 3670 S ST,37.0458672,-113.5341793
1072 S Criollo LN,,
1664 S Dixie Drive,37.0754774,-113.5869454
Anasazi Trail & Supai Trail,,
2169 S CARABINER WAY,37.0706344,-113.6208048
"234 E 500 S, St. George, UT",37.0997152,-113.5858613
2359 Apparation Ct.,37.0693213,-113.5658132
Lot 218 Fort Pierce Business Park,,
706 N 2200 E ST,37.1208139,-113.5365984
255 S 100 W ST,,
3039 E 2170 S ST,37.0713662,-113.5146129
4782 N Limber Pine DR,,
634 E Concord WY,37.0940859,-113.5705071
801 S Bluff ST STE A45,,
801 S Bluff ST STE A60,,
801 S Bluff ST STE A70,,
521 S ALBA DR,37.0992963,-113.6287471
