Site,Week_Start,Mosq_Count,DailyAverageDryBulbTemperature,DailyAverageWindSpeed,DailyPrecipitation,DailyAverageRelativeHumidity,Risk_Level
SCL004,2023-01-23,0.0,39.285714285714285,5.014285714285714,0.0,54.32285714285714,1
SGE002,2023-01-23,0.0,39.285714285714285,5.014285714285714,0.0,54.32285714285714,1
SGE003,2023-01-23,0.0,39.285714285714285,5.014285714285714,0.0,54.32285714285714,1
SGE009,2023-01-23,0.0,39.285714285714285,5.014285714285714,0.0,54.32285714285714,1
SGE009-2,2023-01-23,0.0,39.285714285714285,5.014285714285714,0.0,54.32285714285714,1
SGE013,2023-01-23,0.0,39.285714285714285,5.014285714285714,0.0,54.32285714285714,1
SGE014,2023-01-23,0.0,39.285714285714285,5.014285714285714,0.0,54.32285714285714,1
SGE017,2023-01-23,1.0,39.285714285714285,5.014285714285714,0.0,54.32285714285714,1
WAS002,2023-01-23,0.0,39.285714285714285,5.014285714285714,0.0,54.32285714285714,1
WAS008,2023-01-23,0.0,39.285714285714285,5.014285714285714,0.0,54.32285714285714,1
SCL004,2023-01-30,0.0,39.142857142857146,3.5428571428571423,0.0214285714285714,57.285384615384615,1
SGE002,2023-01-30,0.0,39.142857142857146,3.5428571428571423,0.0214285714285714,57.285384615384615,1
SGE003,2023-01-30,0.0,39.142857142857146,3.5428571428571423,0.0214285714285714,57.285384615384615,1
SGE009,2023-01-30,0.0,39.142857142857146,3.5428571428571423,0.0214285714285714,57.285384615384615,1
SGE009-2,2023-01-30,0.0,39.142857142857146,3.5428571428571423,0.0214285714285714,57.285384615384615,1
SGE013,2023-01-30,0.0,39.142857142857146,3.5428571428571423,0.0214285714285714,57.285384615384615,1
SGE014,2023-01-30,0.0,39.142857142857146,3.5428571428571423,0.0214285714285714,57.285384615384615,1
SGE017,2023-01-30,0.0,39.142857142857146,3.5428571428571423,0.0214285714285714,57.285384615384615,1
WAS002,2023-01-30,0.0,39.142857142857146,3.5428571428571423,0.0214285714285714,57.285384615384615,1
WAS008,2023-01-30,0.0,39.142857142857146,3.5428571428571423,0.0214285714285714,57.285384615384615,1
SCL004,2023-03-06,0.0,50.0,5.071428571428571,0.0214285714285714,57.954632034632034,1
SGE002,2023-03-06,1.0,50.0,5.071428571428571,0.0214285714285714,57.954632034632034,1
SGE003,2023-03-06,0.0,50.0,5.071428571428571,0.0214285714285714,57.954632034632034,1
SGE009,2023-03-06,0.0,50.0,5.071428571428571,0.0214285714285714,57.954632034632034,1
SGE009-2,2023-03-06,0.0,50.0,5.071428571428571,0.0214285714285714,57.954632034632034,1
SGE013,2023-03-06,0.0,50.0,5.071428571428571,0.0214285714285714,57.954632034632034,1
SGE014,2023-03-06,0.0,50.0,5.071428571428571,0.0214285714285714,57.954632034632034,1
SGE017,2023-03-06,3.0,50.0,5.071428571428571,0.0214285714285714,57.954632034632034,1
WAS002,2023-03-06,0.0,50.0,5.071428571428571,0.0214285714285714,57.954632034632034,1
WAS008,2023-03-06,1.0,50.0,5.071428571428571,0.0214285714285714,57.954632034632034,1
SCL004,2023-03-27,0.0,49.57142857142857,6.457142857142857,0.0185714285714285,47.78091397849463,1
SGE002,2023-03-27,1.0,49.57142857142857,6.457142857142857,0.0185714285714285,47.78091397849463,1
SGE003,2023-03-27,0.0,49.57142857142857,6.457142857142857,0.0185714285714285,47.78091397849463,1
SGE009,2023-03-27,5.0,49.57142857142857,6.457142857142857,0.0185714285714285,47.78091397849463,1
SGE009-2,2023-03-27,12.0,49.57142857142857,6.457142857142857,0.0185714285714285,47.78091397849463,3
SGE013,2023-03-27,2.0,49.57142857142857,6.457142857142857,0.0185714285714285,47.78091397849463,1
SGE014,2023-03-27,1.0,49.57142857142857,6.457142857142857,0.0185714285714285,47.78091397849463,1
SGE017,2023-03-27,18.0,49.57142857142857,6.457142857142857,0.0185714285714285,47.78091397849463,3
WAS002,2023-03-27,0.0,49.57142857142857,6.457142857142857,0.0185714285714285,47.78091397849463,1
WAS008,2023-03-27,1.0,49.57142857142857,6.457142857142857,0.0185714285714285,47.78091397849463,1
SCL004,2023-04-03,0.0,50.285714285714285,6.757142857142857,0.0028571428571428,38.61286535303777,1
SGE002,2023-04-03,0.0,50.285714285714285,6.757142857142857,0.0028571428571428,38.61286535303777,1
SGE003,2023-04-03,0.0,50.285714285714285,6.757142857142857,0.0028571428571428,38.61286535303777,1
SGE009,2023-04-03,0.0,50.285714285714285,6.757142857142857,0.0028571428571428,38.61286535303777,1
SGE009-2,2023-04-03,0.0,50.285714285714285,6.757142857142857,0.0028571428571428,38.61286535303777,1
SGE013,2023-04-03,8.0,50.285714285714285,6.757142857142857,0.0028571428571428,38.61286535303777,1
SGE014,2023-04-03,1.0,50.285714285714285,6.757142857142857,0.0028571428571428,38.61286535303777,1
SGE017,2023-04-03,8.0,50.285714285714285,6.757142857142857,0.0028571428571428,38.61286535303777,1
WAS002,2023-04-03,0.0,50.285714285714285,6.757142857142857,0.0028571428571428,38.61286535303777,1
WAS008,2023-04-03,4.0,50.285714285714285,6.757142857142857,0.0028571428571428,38.61286535303777,1
HUR008,2023-04-10,1.0,64.14285714285714,6.814285714285715,0.0028571428571428,27.494047619047617,1
IVI001,2023-04-10,11.0,64.14285714285714,6.814285714285715,0.0028571428571428,27.494047619047617,2
SCL004,2023-04-10,3.0,64.14285714285714,6.814285714285715,0.0028571428571428,27.494047619047617,1
SCL005,2023-04-10,1.0,64.14285714285714,6.814285714285715,0.0028571428571428,27.494047619047617,1
SGE002,2023-04-10,1.0,64.14285714285714,6.814285714285715,0.0028571428571428,27.494047619047617,1
SGE003,2023-04-10,2.0,64.14285714285714,6.814285714285715,0.0028571428571428,27.494047619047617,1
SGE009,2023-04-10,1.0,64.14285714285714,6.814285714285715,0.0028571428571428,27.494047619047617,1
SGE009-2,2023-04-10,1.0,64.14285714285714,6.814285714285715,0.0028571428571428,27.494047619047617,1
SGE013,2023-04-10,5.0,64.14285714285714,6.814285714285715,0.0028571428571428,27.494047619047617,1
SGE014,2023-04-10,3.0,64.14285714285714,6.814285714285715,0.0028571428571428,27.494047619047617,1
SGE017,2023-04-10,29.0,64.14285714285714,6.814285714285715,0.0028571428571428,27.494047619047617,3
SGE017-EX,2023-04-10,89.0,64.14285714285714,6.814285714285715,0.0028571428571428,27.494047619047617,5
WAS002,2023-04-10,1.0,64.14285714285714,6.814285714285715,0.0028571428571428,27.494047619047617,1
WAS006,2023-04-10,0.0,64.14285714285714,6.814285714285715,0.0028571428571428,27.494047619047617,1
WAS008,2023-04-10,5.0,64.14285714285714,6.814285714285715,0.0028571428571428,27.494047619047617,1
WAS011,2023-04-10,0.0,64.14285714285714,6.814285714285715,0.0028571428571428,27.494047619047617,1
HUR008,2023-04-17,3.0,61.142857142857146,9.085714285714284,0.0,24.13716117216117,1
IVI001,2023-04-17,2.0,61.142857142857146,9.085714285714284,0.0,24.13716117216117,1
SCL004,2023-04-17,5.0,61.142857142857146,9.085714285714284,0.0,24.13716117216117,1
SCL005,2023-04-17,0.0,61.142857142857146,9.085714285714284,0.0,24.13716117216117,1
SGE002,2023-04-17,2.0,61.142857142857146,9.085714285714284,0.0,24.13716117216117,1
SGE003,2023-04-17,3.0,61.142857142857146,9.085714285714284,0.0,24.13716117216117,1
SGE009,2023-04-17,1.0,61.142857142857146,9.085714285714284,0.0,24.13716117216117,1
SGE009-2,2023-04-17,6.0,61.142857142857146,9.085714285714284,0.0,24.13716117216117,1
SGE013,2023-04-17,9.0,61.142857142857146,9.085714285714284,0.0,24.13716117216117,1
SGE014,2023-04-17,0.0,61.142857142857146,9.085714285714284,0.0,24.13716117216117,1
SGE017,2023-04-17,117.0,61.142857142857146,9.085714285714284,0.0,24.13716117216117,6
WAS002,2023-04-17,1.0,61.142857142857146,9.085714285714284,0.0,24.13716117216117,1
WAS006,2023-04-17,0.0,61.142857142857146,9.085714285714284,0.0,24.13716117216117,1
WAS008,2023-04-17,9.0,61.142857142857146,9.085714285714284,0.0,24.13716117216117,1
